it_id	italian	nl_id	dutch	subject_omission	reflexive_construction	double_negation	diminutives_augmentatives	clitic_pronouns
4427	Da dove vieni?	387167	Waar kom je vandaan?	False	False	False	False	False
4428	Come ti chiami?	406591	Hoe heet je?	False	True	False	False	True
4437	Ho perso il mio portafoglio.	377809	Ik heb mijn portemonnee verloren.	True	False	False	False	False
4440	La vita è quello che ti succede mentre sei impegnato a fare altri progetti.	378369	Leven is wat er met je gebeurt terwijl je bezig bent met andere dingen.	False	True	False	False	True
4441	Non desiderare è lo stesso che avere.	382083	Niet willen is hetzelfde als hebben.	False	False	False	False	True
4442	È molto sexy.	1255146	Hij is heel sexy.	True	False	False	False	False
4443	Lasciami stare!	384932	Laat me met rust!	True	False	False	False	False
4447	Il conto, per favore.	377812	De rekening, alstublieft.	False	False	False	False	False
4455	È troppo caro!	377762	Dat is te duur!	True	False	False	False	False
4458	Muoio di fame!	382087	Ik ga dood van de honger!	True	False	False	False	False
4466	Volere è potere.	422907	Waar een wil is, is een weg.	False	False	False	False	False
4467	Chi cerca trova.	3207633	Wie zoekt, die vindt.	False	False	False	False	False
4470	Non capisco il tedesco.	384960	Ik versta geen Duits.	False	False	False	False	False
4471	Ho preso la mia decisione.	839998	Ik heb mijn beslissing genomen.	True	False	False	False	True
4476	Non mi piace imparare i verbi irregolari.	377849	Ik hou niet van onregelmatige werkwoorden leren.	False	True	False	False	True
4477	Prendi un libro e leggilo!	377850	Pak een boek en lees het!	True	False	False	False	False
4479	Mi fai sognare.	694916	Ge doet mij dromen.	False	False	False	False	False
4481	Ormai è un uomo.	377496	Hij is al een man.	False	False	False	False	False
4483	Ho paura di cadere.	377851	Ik ben bang om te vallen.	True	False	False	False	False
4486	Fa freddo.	377838	Het is koud.	True	False	False	False	False
4488	Hai ragione.	382100	Je hebt gelijk.	True	False	False	False	False
4494	Mi potresti ritelefonare più tardi, per favore?	377852	Zou je misschien later kunnen terugbellen?	False	False	False	False	False
4497	La vita è bella!	377853	Het leven is mooi.	False	False	False	False	False
4497	La vita è bella!	2088718	Het leven is prachtig!	False	False	False	False	False
4504	Ti ho sognato.	2226367	Ik heb van jou gedroomd.	False	False	False	False	False
4508	Non mi piace la scuola.	378007	Ik vind school niet leuk.	False	True	False	False	True
4515	Dove vai?	387161	Waar ga je heen?	False	False	False	False	False
4543	Ti piace il rap?	602060	Vind je rap leuk?	False	False	False	False	False
4547	Aspetto da ore.	5978	Ik wacht al uren lang.	True	False	False	True	False
4549	Non lo conosco.	752983	Ik ken hem niet.	False	False	False	False	True
4551	Non importa.	377476	Dat is niet belangrijk.	False	False	False	False	False
4554	Guarda bene. Ora ti mostro come si fa.	397253	Kijk goed. Ik zal je laten zien hoe je dit doet.	True	True	False	False	True
4555	Vado ogni mattina a fare la spesa.	377854	Ik doe iedere morgen boodschappen.	True	False	False	False	True
4556	La parola è d'argento ma il silenzio è d'oro.	381323	Spreken is zilver, zwijgen is goud.	False	False	False	False	False
4568	Meglio tardi che mai.	422753	Beter laat dan nooit.	False	False	False	False	False
4570	Tale padre, tale figlio.	422938	Zo vader, zo zoon.	False	False	False	False	False
4574	Tutte le strade portano a Roma.	381305	Alle wegen leiden naar Rome.	False	False	False	False	True
4575	Le ore del mattino hanno l'oro in bocca.	422771	De morgenstond heeft goud in de mond.	False	False	False	True	False
4586	Chi va via perde il posto all'osteria.	422509	Opgestaan, plaats vergaan.	False	False	False	False	False
4588	Nessuna nuova, buona nuova.	381325	Geen nieuws is goed nieuws.	False	False	False	False	False
4598	Non c'è nessuna soluzione.	844535	Er is geen oplossing.	False	False	True	False	False
4607	Amor dà per mercede gelosia e rotta fede.	377325	Geen liefde zonder jaloezie.	False	False	False	False	False
4613	Non posso dire il contrario.	784251	Daartegen kan ik niets zeggen.	False	False	False	False	False
4615	Non ne voglio più.	377855	Ik wil het niet meer.	False	False	False	False	True
4639	Sono riuscito a entrare.	813752	Het is mij gelukt om binnen te komen.	True	False	False	False	False
4646	Non dimentichi lo scontrino.	379434	Vergeet de kassabon niet.	False	False	False	False	True
4665	Il film è durato 2 ore.	377856	De film duurde 2 uur.	False	False	False	False	False
4672	Come sei bella!	519894	Wat ben je mooi!	False	False	False	False	False
4677	Mi ha detto che sarebbe andato a Venezia.	416158	Hij heeft me verteld dat hij naar Venetië gaat.	False	False	False	True	False
4683	Lo spirito è forte, ma la carne è debole.	381319	De geest is gewillig, maar het vlees is zwak.	False	False	False	False	True
4688	Non so se avrò il tempo di farlo.	419898	Ik weet niet of ik tijd zal hebben om het te doen.	False	False	False	False	False
4693	Ah! Se fossi ricco, mi comprerei una casa in Spagna.	418243	Ah! Als ik rijk zou zijn, zou ik voor mezelf een huis kopen in Spanje.	False	True	False	False	True
4693	Ah! Se fossi ricco, mi comprerei una casa in Spagna.	439276	O, als ik rijk was, kocht ik een huis in Spanje.	False	True	False	False	True
119812	Ciao, Tom.	857984	Hallo, Tom.	False	False	False	False	False
119949	In città, il limite di velocità è di 50 km/h.	1135293	In steden is de snelheid beperkt to 50 kilometer per uur.	False	False	False	False	False
335150	Quanto è distante da qui?	822002	Hoe ver is het van hier?	False	False	False	False	False
335151	Sono io.	413319	Ik ben het.	True	False	False	False	False
335156	Penso di aver capito.	2801856	Ik geloof dat ik het heb verstaan.	True	False	False	False	False
338394	Bella domanda.	377857	Goeie vraag.	False	False	False	False	False
338432	Che cosa manca?	377865	Wat ontbreekt er?	False	False	False	False	False
338448	Cosa?	376067	Wat?	False	False	False	False	False
338480	Quella chitarra è così cara che non posso comprarla.	377882	Die gitaar is zo duur dat ik hem niet kan kopen.	False	False	False	False	False
338709	Fa caldo oggi.	377890	Het is heet vandaag.	True	False	False	False	False
338747	Ti ricordi di me?	377896	Herinner je je mij nog?	False	False	False	False	False
338750	Non ritornerò.	377897	Ik ga niet terug.	False	False	False	False	False
340651	È molto romantico!	941675	Dat is heel romantisch!	True	False	False	False	False
340683	Voglio andare a Tokyo.	1113121	Ik wil naar Tokio gaan.	True	False	False	False	False
340888	Molto romantico!	793439	Heel romantisch!	False	False	False	False	False
341631	Ho molti amici.	397336	Ik heb veel vrienden.	True	False	False	False	False
341644	Stasera andiamo a ballare.	448786	Vanavond gaan we dansen.	False	False	False	False	False
341656	Non devi mangiare troppi gelati e troppi spaghetti.	638674	Je mag niet te veel ijs en spaghetti eten.	False	False	False	False	False
342133	Mi chiamo Andrea.	377836	Ik heet Andrea.	False	False	False	False	False
348759	Parla inglese?	379474	Spreek je Engels?	True	False	False	False	False
348759	Parla inglese?	379475	Spreekt u Engels?	True	False	False	False	False
350290	Tutti gli autobus sono pieni.	879964	Alle bussen zijn vol.	False	False	False	False	True
350292	Lei apre la finestra.	450279	Zij doet het raam open.	False	False	False	False	True
350303	Vivo in un appartamento.	450645	Ik woon in een appartement.	True	False	False	False	False
350337	Sono così felice per te.	846798	Ik ben zo blij voor je.	True	False	False	False	False
350373	Lascia che paghi la mia parte.	2086907	Laat ik mijn eigen deel betalen.	True	False	False	False	True
350376	Dov'è l'entrata del museo?	823695	Waar is de ingang van het museum?	False	False	False	False	False
350385	Il nostro insegnante sembrava sorpreso.	788781	Onze leraar leek verrast te zijn.	False	False	False	False	False
350397	Non fece niente di male.	580253	Hij heeft niets slechts gedaan.	False	False	True	False	False
350467	In generale, si sa poco di equazioni differenziali non lineari del secondo ordine.	758658	Over het algemeen weet men maar weinig over niet-lineaire differentiaalvergelijkingen van de tweede orde.	False	True	False	False	False
350547	Andrò anche se piove.	381353	Ik ga, zelfs al regent het.	True	False	False	False	False
350563	Ti ricordi?	377862	Weet je nog?	False	False	False	False	False
350588	Non ho niente a che fare con ciò.	605386	Ik heb er niets mee te maken.	False	False	True	False	False
350594	Ci sono riviste inglesi in questa biblioteca?	1297389	Zijn er Engelse tijdschriften in deze bibliotheek?	False	False	False	False	False
350596	Lava la bicicletta ogni settimana.	760054	Hij wast de fiets elke week.	True	False	False	False	True
350606	Le sue scarpe sono marroni.	597266	Zijn schoenen zijn bruin.	False	False	False	False	False
350624	È introverso.	397068	Hij is introvert.	True	False	False	False	False
350625	Nuoto una volta a settimana.	734084	Ik zwem eenmaal per week.	False	False	False	False	False
350625	Nuoto una volta a settimana.	822304	Ik zwem één keer per week.	False	False	False	False	False
350750	Ho bisogno del tuo aiuto.	402928	Ik heb je hulp nodig.	True	False	False	False	False
350764	Voglio una chitarra.	413598	Ik wil een gitaar.	True	False	False	False	False
350845	Devono essere americani.	846810	Dat moeten wel Amerikanen zijn.	True	False	False	False	False
350907	Sbrigati, o perderai il treno.	423564	Haast je, of je haalt de trein niet.	True	False	False	False	False
350919	Non ha paura di niente.	378758	Zij is nergens bang voor.	False	False	False	False	False
350930	È andato in Svizzera.	377364	Hij is naar Zwitserland gegaan.	True	False	False	False	False
350934	Il treno non è ancora arrivato.	846630	De trein is er nog niet.	False	False	False	False	False
350946	Oggi mi sento peggio di ieri.	1723162	Ik voel mij slechter dan gisteren.	False	True	False	False	True
350953	Che stai facendo?	376070	Wat ben je aan het doen?	False	False	False	False	False
350954	Che fai?	5971	Wat doe je?	False	False	False	False	False
350954	Che fai?	376070	Wat ben je aan het doen?	False	False	False	False	False
350958	Non è né in cucina né in soggiorno.	814134	Zij is niet in de keuken en ook niet in de zitkamer.	False	False	False	False	False
350990	Quello non succederà.	378770	Dat zal niet gebeuren.	False	False	False	False	False
351111	Questo libro è di Tony.	847882	Dit boek is van Tony.	False	False	False	False	False
351145	Aveva paura del cane.	1502294	Ze was bang voor de hond.	True	False	False	False	False
351269	Divertiti alla festa, John.	778900	Veel plezier op het feestje, John.	True	False	False	False	False
353213	Fuma 20 sigarette al giorno.	1358362	Ze rookt twintig sigaretten per dag.	True	False	False	False	False
353409	Non parlo giapponese.	377766	Ik spreek geen Japans.	False	False	False	False	False
353436	Senza offesa.	379293	Ik wilde niemand beledigen.	False	False	False	False	False
353444	Per via del brutto tempo l'aereo ha fatto ritardo.	388674	Het vliegtuig had vertraging door het slechte weer.	False	False	False	False	False
358298	Che peccato!	747643	Wat een schande!	False	False	False	False	False
358298	Che peccato!	854652	Wat jammer!	False	False	False	False	False
358300	Ecciù!	1371635	Hatsjie!	False	False	False	False	False
359418	Il problema è nel motore.	424960	Het probleem zit in de motor.	False	False	False	False	False
359439	Che sorpresa!	377887	Wat een verrassing!	False	False	False	False	False
365722	La televisione non funziona.	598704	De tv werkt niet.	False	False	False	True	False
367940	Sono vegetariana.	381355	Ik ben vegetariër.	True	False	False	False	False
367956	Sono vegetariano.	381355	Ik ben vegetariër.	True	False	False	False	False
367962	Questo cibo contiene carne?	367959	Zit er vlees in dit eten?	False	False	False	False	False
367967	Non mangio né carne, né pesce, niente frutti di mare, né brodo di origine animale.	367974	Ik eet geen vlees, geen vis en geen zeevruchten, en ook geen vleesbouillon.	False	False	True	False	False
369554	La fortuna aiuta gli audaci.	379272	Het geluk staat de dapperen bij.	False	False	False	False	True
373298	Benvenuto!	375832	Welkom!	False	False	False	False	False
373408	Ti farò visitare la città.	377894	Ik zal je de stad laten zien.	False	False	False	False	True
373413	Ci sono dei buoni ristoranti qui intorno?	951681	Zijn er hier in de omgeving goede restaurants?	False	False	False	False	False
373483	Il tuo nome è il primo della lista.	387098	Jouw naam staat bovenaan de lijst.	False	False	False	False	False
373495	Ho un cane.	755340	Ik heb een hond.	True	False	False	False	False
373502	Amo i gatti.	1622425	Ik hou van katten.	True	False	False	False	False
373503	Mi piacciono i gatti.	1622425	Ik hou van katten.	False	False	False	False	False
373504	Non ho un gatto.	841987	Ik heb geen kat.	False	False	False	False	False
373516	Sapete a quale divinità è dedicato questo tempio?	847936	Weet je aan welke godheid deze tempel is gewijd?	True	False	False	False	False
373521	Molti scienziati hanno la reputazione di essere eccentrici.	423244	Veel wetenschappers hebben de reputatie excentriek te zijn.	False	False	False	True	True
373525	Sei uno studente?	674906	Zijt ge student?	True	False	False	False	False
373646	Il tempo vola.	379275	De tijd vliegt.	False	False	False	False	False
373661	Mia madre parla lentamente.	1372095	Mijn moeder spreekt traag.	False	False	False	False	False
373681	Non visiterà mai più la città.	822015	Hij gaat de stad nooit meer bezoeken.	False	False	False	False	True
373700	Il Canada è più grande del Giappone.	377365	Canada is groter dan Japan.	False	False	False	False	False
373701	Arrivo da te fra un'ora.	377305	Over een uur kom ik bij je.	True	False	False	False	False
373702	Ho trovato questo ristorante per caso.	378788	Ik kwam dat restaurant toevallig tegen.	True	False	False	False	False
373703	Questa scuola è stata fondata nel 1650.	377411	Deze school is opgericht in 1650.	False	False	False	False	False
373705	Vai a scuola.	378001	Ga naar school.	True	False	False	False	False
373713	Le uniformi sono diverse da scuola a scuola.	378002	Uniformen verschillen van school tot school.	False	False	False	False	False
373714	Le uniformi variano da scuola a scuola.	378002	Uniformen verschillen van school tot school.	False	False	False	False	False
373715	Questa è la nostra scuola.	378003	Dat is onze school.	False	False	False	False	True
373716	Questa è la mia scuola.	533731	Dat is mijn school.	False	False	False	False	True
373718	Dov'è la tua scuola?	384947	Waar is je school?	False	False	False	False	True
373727	Devi seguire le regole della scuola.	808172	Hou u aan de regels van de school.	True	False	False	False	True
373733	Ho dimenticato il suo nome.	598888	Ik ben zijn naam vergeten.	True	False	False	False	False
373736	Ho un sogno.	377426	Ik heb een droom.	True	False	False	False	False
373738	Stai qui con noi.	997048	Blijf hier bij ons.	True	False	False	False	False
373739	Resta qui con noi.	997048	Blijf hier bij ons.	True	False	False	False	False
373743	Perché è qui?	375865	Waarom is hij hier?	False	False	False	False	False
373746	Ti piace la musica?	417311	Hou je van muziek?	False	False	False	False	True
373759	La sua storia è vera.	572273	Zijn verhaal is waar.	False	False	False	False	False
373760	Svuotò il suo bicchiere.	1130785	Hij leegde zijn glas.	True	False	False	False	False
373765	Ha un altro figlio.	386221	Hij heeft nog een zoon.	True	False	False	False	False
373768	Hanno chiamato il loro figlio John.	385127	Ze hebben hun zoon John genoemd.	True	False	False	False	False
373770	Nevica.	377382	Het sneeuwt.	True	False	False	False	False
373772	Sta nevicando.	377382	Het sneeuwt.	True	False	False	False	False
373773	Sawako vuole andare in Francia.	377339	Sawako wil naar Frankrijk.	False	False	False	False	False
373776	Ho fatto un sogno orribile.	377250	Ik heb afschuwelijk gedroomd.	True	False	False	False	False
373782	Dov'è il problema?	380272	Wat is het probleem?	False	False	False	False	False
373786	C'è qualche problema?	847750	Is er een probleem?	False	False	False	False	False
373794	Lo spagnolo è la sua lingua madre.	551386	Spaans is zijn moedertaal.	False	False	False	False	True
373799	Che lingue parlano in Corea?	2967693	Welke talen worden in Korea gesproken?	False	False	False	False	False
373800	Imparare una lingua straniera è difficile.	462279	Het is moeilijk om een vreemde taal te leren.	True	False	False	False	False
373831	Resta ancora una questione su cui dobbiamo discutere.	379287	Er is nog een vraag die we moeten bespreken.	True	False	False	True	False
373832	Ci vediamo domenica alle tre.	377432	Ik ontmoet je zondag om drie uur.	False	False	False	False	False
373836	È nuovo di zecca.	377870	Het is gloednieuw.	True	False	False	False	False
373837	È nuovo.	650013	Het is nieuw.	True	False	False	False	False
373842	La nostra impresa ha il progetto di costruire una nuova fabbrica chimica in Russia.	377281	Ons bedrijf is van plan een nieuwe chemische fabriek te bouwen in Rusland.	False	False	False	True	False
373855	Non abbiamo zucchero.	449426	We hebben geen suiker.	False	False	False	False	False
373867	L'ho incontrato quando ero a Parigi.	377423	Ik heb hem ontmoet toen ik in Parijs was.	False	False	False	False	False
373868	Veramente?	378761	Echt?	False	False	False	False	False
373870	Davvero?	378761	Echt?	False	False	False	False	False
373872	Ho fatto un errore.	389188	Ik heb een fout gemaakt.	True	False	False	False	False
373883	Non capisco.	377811	Ik begrijp het niet.	False	False	False	False	False
373884	Mi scusi, mi sono perso.	377823	Pardon, ik ben verdwaald.	False	True	False	False	True
373885	Non ho molti soldi.	377834	Ik heb niet veel geld.	False	False	False	False	False
373890	Pensa prima di parlare.	462257	Denk voor je spreekt.	True	False	False	False	False
373931	Dov'è il libro?	561075	Waar is het boek?	False	False	False	False	False
373947	Mary si interessa di politica.	388678	Mary is geïnteresseerd in politiek.	False	True	False	False	False
373957	Sono libero.	879243	Ik ben vrij.	True	False	False	False	False
373965	Sei libero questo fine settimana?	1032954	Ben je vrij dit weekend?	True	False	False	False	False
373967	Dobbiamo seguire il suo esempio.	780163	We zouden zijn voorbeeld moeten volgen.	True	False	False	False	False
373972	Mostrami un altro esempio.	377909	Laat me nog eens een voorbeeld zien.	True	False	False	False	False
373998	L'ho pagato la settimana scorsa.	377491	Ik heb hem vorige week betaald.	False	False	False	False	True
373999	Il ghiaccio si è sciolto.	377772	Het ijs is gesmolten.	False	True	False	True	False
374002	Quanto sei alto?	377929	Hoe lang bent u?	False	False	False	False	False
374004	Tuo padre è alto.	788128	Je vader is groot.	False	False	False	False	False
374005	Sono molto alto.	384010	Ik ben heel lang.	True	False	False	False	False
374034	Non resterò qui a lungo.	377500	Ik blijf hier niet lang.	False	False	False	False	False
374035	È un buon manuale.	3454329	Het is een goed handboek.	True	False	False	False	False
374037	Buon fine settimana.	721897	Goed weekeinde.	False	False	False	False	False
374038	Buon compleanno!	379392	Gefeliciteerd met je verjaardag!	False	False	False	False	False
374040	Domani è il mio compleanno.	1529557	Morgen ben ik jarig.	False	False	False	False	False
374060	Questa frase non ha senso.	425093	Deze zin slaat nergens op.	False	False	False	False	False
374106	La ragazza sta piangendo.	2086929	Het meisje is aan het huilen.	False	False	False	False	False
374194	Sei sempre in ritardo.	394859	Je bent altijd te laat.	True	False	False	False	False
374197	Ho sempre fame.	449877	Ik heb altijd honger.	True	False	False	False	False
374205	L'arte moderna non mi interessa.	3376243	Ik interesseer me niet voor moderne kunst.	False	True	False	False	True
374207	Dov'è la galleria d'arte più vicina?	2434761	Waar is de dichtstbijzijnde kunstgalerij?	False	False	False	False	True
374223	Un gatto ha nove vite.	687089	Een kat heeft negen levens.	False	False	False	False	False
374225	Ho un gatto e un cane.	448476	Ik heb een kat en een hond.	True	False	False	False	False
374247	Hai una macchina fotografica?	591260	Heb je een fototoestel?	True	False	False	False	False
374247	Hai una macchina fotografica?	685824	Hebt ge een fototoestel?	True	False	False	False	False
374262	Non mi piace questa macchina fotografica.	449331	Ik hou niet van die fotocamera.	False	True	False	False	True
374288	Sai dove ha comprato la sua macchina fotografica?	385400	Weet je waar hij zijn fototoestel gekocht heeft?	True	False	False	False	True
374298	Cade di domenica.	413299	Het valt op zondag.	True	False	False	False	False
374302	Tieniti libero domenica prossima.	721713	Hou volgende zondag vrij.	True	False	False	False	False
374333	Adora giocare a tennis.	378753	Ze is dol op tennissen.	True	False	False	False	False
374398	Per favore, pensaci.	377794	Denk er eens over na als je wil.	False	False	False	False	False
374400	Tu pensi troppo.	382132	Je denkt te veel.	False	False	False	False	False
374401	Pensaci.	377392	Denk er eens over na.	True	False	False	False	False
374417	Picasso è un artista famoso.	379681	Picasso is een beroemd kunstenaar.	False	False	False	False	False
374420	Mia sorella è famosa.	734912	Mijn zus is beroemd.	False	False	False	False	False
374420	Mia sorella è famosa.	761727	Mijn zuster is beroemd.	False	False	False	False	False
374427	Molti artisti famosi vivono a New York.	857948	Veel beroemde artiesten wonen in New York.	False	False	False	False	False
374432	È a Tokyo.	443919	Hij is in Tokio.	True	False	False	False	False
374464	Sono un uomo.	538177	Ik ben een man.	True	False	False	False	False
374472	Fa freddo oggi.	655330	Vandaag is het koud.	True	False	False	False	False
374488	Il lavoro deve essere finito per domani.	379512	Morgen moet het werk af zijn.	False	False	False	False	False
374531	Questo problema è troppo semplice.	379858	Deze opgave is te eenvoudig.	False	False	False	False	False
374554	Non parla né il tedesco né il francese.	3511888	Hij spreekt noch Duits noch Frans.	False	False	False	False	False
374558	Il francese è parlato in Francia.	377248	Frans wordt in Frankrijk gesproken.	False	False	False	False	False
374560	Ho imparato il francese al posto del tedesco.	384462	Ik heb Frans geleerd in plaats van Duits.	True	False	False	False	False
374569	Perfetto!	3624290	Perfect!	False	False	False	False	False
374571	L'inglese non è facile, ma è interessante.	396031	Engels is niet eenvoudig, maar het is interessant.	False	False	False	False	False
374577	Devo imparare questa poesia a memoria.	603616	Ik moet dit gedicht vanbuiten leren.	True	False	False	False	False
374577	Devo imparare questa poesia a memoria.	3038440	Ik moet dit gedicht uit mijn hoofd leren.	True	False	False	False	False
374579	Non è mai troppo tardi per imparare.	394649	Het is nooit te laat om te leren.	False	False	False	False	False
374583	Parlare inglese non è facile.	790659	Engels spreken is niet makkelijk.	True	False	False	False	False
374594	Marconi ha inventato la radio.	3580362	Marconi heeft de radio uitgevonden.	False	False	False	False	True
374598	La radio è spenta.	388715	De radio is uit.	False	False	False	False	False
374610	Quanto costa questa radio?	714309	Hoeveel kost deze radio?	False	False	False	False	False
374615	Chi ha inventato il telefono?	387087	Wie heeft de telefoon uitgevonden?	False	False	False	False	False
374623	Un bambino ha bisogno di amore.	451232	Een kind heeft liefde nodig.	False	False	False	True	False
374684	La nostra scuola ha ottant'anni.	784190	Onze school is 80 jaar oud.	False	False	False	False	False
374685	Ho diciannove anni.	652256	Ik ben 19 jaar.	True	False	False	False	False
374697	Nessuno può vivere duecento anni.	819910	Niemand kan tweehonderd jaar leven.	False	False	False	False	False
375008	Il Giappone è un paese insulare.	741329	Japan is een land van eilanden.	False	False	False	True	False
375009	Da che paese vieni?	378406	Uit welk land kom je?	False	False	False	False	False
375018	Il Giappone è un paese ricco.	560798	Japan is een rijk land.	False	False	False	True	False
375020	Il riso cresce nei paesi caldi.	448627	Rijst groeit in warme landen.	False	False	False	False	False
375024	Questo fiore ha un buon profumo.	395163	Deze bloem ruikt lekker.	False	False	False	False	False
375051	Hai scritto tu questo libro?	690808	Hebt gij dit boek geschreven?	True	False	False	False	False
375076	Non voglio essere egoista.	380095	Het is niet mijn bedoeling om zelfzuchtig te zijn.	False	False	False	False	False
375079	La mostra è già aperta.	377462	De tentoonstelling is al open.	False	False	False	False	False
375084	Ero da solo in aula.	377756	Ik was alleen in het lokaal.	True	False	False	False	False
375090	Guadagno 100 euro al giorno.	378722	Ik verdien €100 per dag.	False	False	False	False	False
375104	Di lui non so altro che il nome.	377483	Ik weet niets van hem, behalve zijn naam.	False	False	False	False	False
375112	In camera non c'era niente, a parte una sedia vecchia.	384272	Er was niets in de kamer, behalve een oude stoel.	False	False	False	False	False
375114	Egli scrisse una lettera.	377492	Hij heeft een brief geschreven.	False	False	False	False	False
375117	Lui ha scritto una lettera.	377492	Hij heeft een brief geschreven.	False	False	False	False	False
375118	Torno subito.	5984	Ik ben zo terug.	True	False	False	False	False
375126	Questo condizionatore consuma molta corrente.	377303	Deze airconditioner verbruikt veel elektriciteit.	False	False	False	False	False
375150	No, non io, tu!	379566	Nee, ik ben het niet, jij bent het!	False	False	False	False	False
375228	Sono contento del mio lavoro.	378769	Ik ben tevreden met mijn werk.	True	False	False	False	False
375236	Non posso vivere in questo modo.	378741	Ik kan zo niet leven.	False	False	False	False	False
375237	Non posso vivere così.	378741	Ik kan zo niet leven.	False	False	False	False	False
375238	Non mi è mai piaciuta la biologia.	377531	Ik heb nooit van biologie gehouden.	False	True	False	False	True
375240	È sfortunatamente vero.	378391	Helaas is het waar.	True	False	False	False	False
375241	Non può essere vero.	376007	Het kan niet waar zijn.	False	False	False	False	False
375243	Entrambe le storie sono vere.	846618	Beide verhalen zijn waar.	False	False	False	False	True
375247	Questo è il Giappone.	377316	Dit is Japan.	False	False	False	False	False
375248	Bill era in Giappone.	377361	Bill is in Japan geweest.	False	False	False	False	False
375249	Vivo in Giappone.	379301	Ik woon in Japan.	True	False	False	False	False
375251	Benvenuto in Giappone.	377789	Welkom in Japan.	True	False	False	False	False
375270	Certe persone preferiscono il mare, altre preferiscono la montagna.	3169599	Sommigen houden het meest van de zee, anderen van de bergen.	False	False	False	True	True
375277	Vedete una barca all'orizzonte?	418677	Zie je een schip aan de horizon?	True	False	False	False	False
375313	Sono il primo musicista della famiglia.	821987	Ik ben de eerste musicus in mijn familie.	True	False	False	False	False
